Variable,Value,Sigma
Ar_36_m,0.0001881057707440668,5.3430189530652066e-05
Ar_36_air,0.00018802239150031658,5.343019033246755e-05
Ar_36_Ca,8.337924375023248e-08,9.256473811977998e-09
Ar_37_m,0.0003088120138897499,3.428323634065925e-05
Ar_37_ca,0.0003088120138897499,3.428323634065925e-05
Ar_38_m,0.00012125354015613942,4.08654278940159e-05
Ar_38_Air,0.00012539752997976523,4.0880709797185026e-05
Air_38_K,-4.143989823625797e-06,1.1176925161452808e-06
Ar_39_m,-0.0003419764349338705,9.22950022522812e-05
Ar_39_K,-0.00034219569146373225,9.229500546203806e-05
Ar_39_Ca,2.1925652986172246e-07,2.434109780186807e-08
Ar_40_m,0.026503701302192803,0.0004293018015403279
Ar_40_r,-0.029631699281250798,0.01595789324450247
Ar_40_air,0.056135965206334515,0.01595211762566151
Ar_40_K,-5.646228909151582e-07,1.522867590123628e-07
Ar_39_K_40_r,0.011548297929719259,0.006955608095441346
Ar_36_air_40_r,-0.006345312488348791,0.003863763354603129
Ar_39_K_36_Air,-1.8199730826376395,0.7130437317767443
F(Ar_40_r/Ar_39_K),86.59284736900706,52.155383748557696
G(Ar_40_m/Ar_39_m),-77.5015427812093,20.954298172007498
B(Ar_36_m/Ar_39_M),-0.5500547743309905,0.2155201499612536
D(Ar_37_m/Ar_39_m),-0.9030213264532869,0.2635270510081632
J,5e-07,8.7e-10
T,78021.13173322959,46991.76758108179
Ar_40_r_ratio,-1.1180211753593525,N/A
C1,298.56,N/A
C2,0.00027,N/A
C3,0.00165,N/A
C4,0.00071,N/A
