Variable,Value,Sigma
Ar_36_m,2.93e-13,3.83e-14
Ar_36_air,2.4541520000000003e-13,3.830012333974918e-14
Ar_36_Ca,4.7584800000000004e-14,9.72e-17
Ar_37_m,1.7624e-10,3.6e-13
Ar_37_ca,1.7624e-10,3.6e-13
Ar_38_m,2.90784e-10,3.4e-13
Ar_38_Air,-9.007886708559692e-13,3.5386698672040743e-13
Air_38_K,2.9168478867085595e-10,9.809100004883719e-14
Ar_39_m,2.40864e-08,8.1e-12
Ar_39_K,2.40862748696e-08,8.1000000040328e-12
Ar_39_Ca,1.251304e-13,2.556e-16
Ar_40_m,1.424722e-08,5.41e-12
Ar_40_r,1.4134206484353161e-08,1.2650093658490693e-11
Ar_40_air,7.327116211200002e-11,1.1434884824315516e-11
Ar_40_K,3.9742353534839996e-11,1.3365000006654119e-14
Ar_39_K_40_r,1.70411228223275,0.0016292900070775335
Ar_36_air_40_r,1.736321032749022e-05,2.709791539999223e-06
Ar_39_K_36_Air,98145.0002673021,15316.79513959266
F(Ar_40_r/Ar_39_K),0.5868157928477501,0.0005616052941625598
G(Ar_40_m/Ar_39_m),0.5915047495682211,0.0003000277703982253
B(Ar_36_m/Ar_39_M),1.216454098578451e-05,1.590114203257449e-06
D(Ar_37_m/Ar_39_m),0.007316992161551747,1.5147388865950106e-05
J,0.026703,3.5e-05
T,28018884.41899194,45120.93839527674
Ar_40_r_ratio,0.9920676794738315,N/A
C1,298.56,N/A
C2,0.00027,N/A
C3,0.00165,N/A
C4,0.00071,N/A
